id,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O
31,dd, sssssss,dddddd, ssss-sssssss,dd, sssss-sssssss, sssss, sss-sssss, sssss, ssss,d,d,dd, ssssss-ssssss, <=dds
32,dd, sssssss,dddddd, sssssssss,dd, ssssssss, ssss-ssssssssss, sss-sssss, sssss, ssss,d,dddd,dd, ssssss-ssssss, <=dds
33,dd, sssssss-sss,ddddd, ssss-sssssss,dd, sssssss-sss-ssssss, sss-ssssssss, sss-sssss, sssss, ssss,d,d,dd, ssssss-ssssss, <=dds
34,dd, sssss-sss,dddddd, ssss-sssssss,dd, sssssss-sss-ssssss, sssss-sssssss, sssssss, sssss, ssss,d,d,dd, ssssss-ssssss, <=dds
35,dd, sssssss,dddddd, ddss,d, sssss-sssssss, sssssss-ss-ssssss, sssssssss, sssss, ssss,d,d,dd, ssssss-ssss, <=dds
36,dd, sssssss,dddddd, ssss-sssssss,dd, sssss-sssssss, sssssss-ss-ssssss, sss-sssss, sssss, ssss,d,d,dd, ssssss-ssssss, <=dds
37,dd, sssssss,dddddd, ss-ssss,d, sssssss-ss-ssssss, sss-ssssssss, ssss, sssss, ssssss,d,d,dd, ssssss-ssssss, <=dds
38,dd, sssssss,ddddd, ssss-sssssss,dd, sssssss-sss-ssssss, sssss, sssssss, sssss, ssss,d,d,dd, ?, >dds
39,dd, ssss-sss-sss-sss,dddddd, sssss-ssss,dd, sssssss-sss-ssssss, ssss-sssssssss, sssssss, sssss, ssss,d,d,dd, ssssss-ssssss, <=dds
40,dd, sssssss,dddddd, dss,d, sssssss-sss-ssssss, sssssss-ss-ssssss, sssssss, sssss, ssss,d,d,dd, ssssss-ssssss, <=dds
41,dd, ssss-sss-sss-sss,ddddd, sssssssss,dd, sssssss-sss-ssssss, ssss-sssssssss, sssssss, sssss, ssss,d,d,dd, ssssss-ssssss, <=dds
42,dd, sssssss,dddddd, sssssssss,dd, sssssss-sss-ssssss, ssss-sssssss, sssssss, sssss, ssss,d,d,dd, ssssss-ssssss, <=dds
43,dd, sssssss,ddddd, ss-ssss,d, sssssssss, sss-ssssssss, sssssssss, sssss, ssssss,d,d,dd, ssssss-ssssss, <=dds
44,dd, sssssss,dddddd, ss-ssss,d, sssss-sssssss, ssssssss-ssssssss, sss-ss-ssssss, sssss, ssss,d,d,dd, ssssss-ssssss, <=dds
45,dd, sssssss-sss,dddddd, sssssssss,dd, sssssss-sss-ssssss, ssss-sssssssss, sssssss, sssss, ssss,d,d,dd, ssssss-ssssss, >dds
46,dd, sssssss,dddddd, ss-ssss,d, sssssss-sss-ssssss, sssssss-ss-ssssss, sssssss, sssss, ssss,d,d,dd, ssssss-ssssss, <=dds
47,dd, sssssss,dddddd, sssssss,dd, ssssssss, ssss-ssssssssss, sssssssss, sssss, ssssss,d,d,dd, ssssss-ssssss, <=dds
48,dd, sssss-sss,dddddd, sssss-sss,dd, sssssss-sss-ssssss, sssss-ssssss, sssssss, sssss, ssss,d,d,dd, ssssss-ssssss, <=dds
49,dd, sssssss,dddddd, sssss-sss,dd, sssss-sssssss, ssss-sssssssss, sss-ss-ssssss, sssss, ssss,d,d,dd, ssssss-ssssss, <=dds
50,dd, sssssss,ddddd, ssss-sssssss,dd, sssssss-sss-ssssss, ssss-ssssssssss, ssss, sssss, ssssss,d,d,dd, ssssss-ssssss, <=dds
51,dd, sssssss,dddddd, ss-ssss,d, sssss-sssssss, sssss-sssssss, sss-sssss, sssss, ssssss,d,d,dd, ?, <=dds
52,dd, sssssss,ddddd, ssss-ssssss,dd, sssssss-sss-ssssss, ssss-sssssssss, ssss, sssss, ssssss,d,dddd,dd, ssssssss, >dds
53,dd, sssssss-sss,dddddd, sssssssss,dd, ssssssss, ssss-ssssssssss, sss-ss-ssssss, sssss, ssss,d,d,dd, ssssss-ssssss, >dds
54,dd, ssss-sss-sss,dddddd, ss-ssss,d, ssssssss, ssss-ssssssssss, sss-ss-ssssss, sssss, ssss,d,d,dd, ssssss-ssssss, <=dds
55,dd, sssssss,dddddd, ssss-sssssss,dd, sssssss-sss-ssssss, ssss-sssssss, sssssss, sssss, ssss,d,d,dd, ssssss-ssssss, >dds
56,dd, sssssss,dddddd, dss-dss,d, sssssss-sss-ssssss, sssssss-ss-ssssss, sssssss, sssss, ssss,d,d,dd, ssssss, <=dds
57,dd, sssssss,ddddd, sssss-sss,dd, sssssss-sss-ssssss, sssss-sssssss, sssssss, sssss, ssss,d,d,dd, ssssss-ssss, <=dds
58,dd, sssssss,dddddd, ss-ssss,d, sssssss-sss-ssssss, sss-ssssssss, sssssss, sssss, ssss,d,d,dd, ssssss-ssssss, <=dds
59,dd, sssssss,dddddd, ss-ssss,d, sssssss-sss-ssssss, sssssss-ss-ssssss, sssssss, sssss, ssss,dddd,d,dd, ssssss-ssssss, <=dds
60,dd, sssssss,ddddd, sssssssss,dd, sssssss-sss-ssssss, sssss, sssssss, sssss, ssss,dddd,d,dd, ssssss-ssssss, <=dds
61,dd, ?,dddddd, dss-dss,d, sssssss-ssssss-ssssss, ?, sss-ss-ssssss, sssss, ssss,d,d,dd, ?, <=dds
62,dd, sssssss,dddddd, ss-ssss,d, sssssss-sss-ssssss, sssssssss-ssssss, sssssss, sssss, ssss,d,d,dd, ssssss-ssssss, <=dds
63,dd, sssssss,dddddd, sssssssss,dd, sssssss-sss-ssssss, ssss-sssssssss, sssssss, sssss, ssss,d,d,dd, ssssss-ssssss, >dds
64,dd, sssssss,dddddd, ssss-sssssss,dd, ssssssss, ssss-sssssss, sss-ss-ssssss, sssss, ssss,d,d,dd, ssssss-ssssss, <=dds
65,dd, sssssss,dddddd, ss-ssss,d, sssssss-sss-ssssss, sssss-ssssss, sssssss, sssss, ssss,d,d,dd, ssssss-ssssss, <=dds
66,dd, sssssss,dddddd, ssss-sssssss,dd, ssssssss, sss-ssssssss, sss-ss-ssssss, sssss, ssssss,d,d,dd, ssssss-ssssss, <=dds
67,dd, sssssss,dddddd, ss-ssss,d, sssssss-sss-ssssss, sss-ssssssss, ssss, sssss, ssssss,d,d,dd, ssssss-ssssss, >dds
68,dd, ssss-sss-sss,dddddd, ssss-sssssss,dd, sssssss-sss-ssssss, ssss-ssssssssss, sssssss, sssss, ssss,d,d,dd, ssssss-ssssss, >dds
69,dd, ?,dddddd, ssss-sssssss,dd, sssss-sssssss, ?, sss-sssss, sssss, ssss,d,d,dd, ssssss-ssssss, <=dds
70,dd, sssssss,dddddd, ssss-sssssss,dd, sssss-sssssss, ssss-sssssssss, sss-sssss, sssss, ssss,d,d,dd, ssssss-ssssss, <=dds
71,dd, sssssss,dddddd, sssssssss,dd, sssssssss, sssss, sss-sssss, sssss, ssssss,d,d,dd, ssssss-ssssss, <=dds
72,dd, ssss-sss-sss-sss,dddddd, sssssssss,dd, sssssss-sss-ssssss, sssss, sssssss, sssss, ssss,d,d,dd, ssssss-ssssss, >dds
73,dd, sssssss,dddddd, ssss-sssssss,dd, sssss-sssssss, sssssss-ss-ssssss, sss-ss-ssssss, sssss, ssss,d,d,dd, ssssss-ssssss, <=dds
74,dd, sssssss,dddddd, ssss-sssssss,dd, sssssss-sss-ssssss, ssss-sssssssss, sssss-ssssssss, sssss, ssss,d,d,dd, ssssss-ssssss, <=dds
75,dd, sssssss,dddddd, ss-ssss,d, sssss-sssssss, sssss-sssssss, sss-sssss, sssss, ssss,d,d,dd, ssssss, <=dds
76,dd, sssssss,ddddd, sssss-ssss,dd, sssssss-sss-ssssss, sss-ssssssss, sssssss, sssss, ssss,d,d,dd, ssssss-ssssss, <=dds
77,dd, ?,dddddd, ddss,d, sssssss-sss-ssssss, ?, sssssss, sssss, ssss,d,d,d, ssssss-ssssss, <=dds
78,dd, sssssss,dddddd, ddss,d, sssss-sssssss, sssss-sssssss, sss-sssss, sssss, ssssss,d,d,dd, ssssss-ssssss, <=dds
79,dd, sssss-sss,dddddd, dss-dss,d, sssssss-sss-ssssss, sssssss-sssssss, sssssss, sssss, ssss,d,d,dd, ssssss-ssssss, <=dds
80,dd, sssssss,dddddd, ss-ssss,d, sssss-sssssss, sssss, sss-ss-ssssss, sssss, ssss,d,d,dd, ssssss-ssssss, <=dds
81,dd, sssssss,dddddd, sssssssss,dd, sssssss-sss-ssssss, sssss-sssssss, sssssss, sssss, ssss,d,d,dd, ssss, <=dds
82,dd, sssssss,ddddd, ss-ssss,d, sssssss-sss-ssssss, sssss-sssssss, ssss, sssss, ssssss,d,d,dd, ssssss-ssssss, <=dds
83,dd, sssssss,dddddd, ss-ssss,d, sssssss-sss-ssssss, sssss, sssssss, sssss, ssss,d,d,dd, ssssss-ssssss, <=dds
84,dd, sssssss,dddddd, ss-ssss,d, ssssssss, sssss-ssssss, sss-ss-ssssss, sssss, ssssss,ddddd,d,dd, ssssss-ssssss, >dds
85,dd, sssssss,dddddd, ss-ssss,d, ssssssss, sssss, sss-sssss, sssss, ssssss,d,d,dd, ssssss-ssssss, <=dds
86,dd, sssss-sss,dddddd, ss-ssss,d, sssssss-sss-ssssss, ssssssssss-ssss, sssssss, sssss, ssss,d,d,dd, ssssss-ssssss, >dds
87,dd, sssssss,dddddd, sssssss,dd, sssssss-sss-ssssss, ssss-sssssssss, sssssss, sssss, ssss,d,d,dd, ssssss-ssssss, <=dds
88,dd, sssssss,ddddd, dss,d, sssss-sssssss, sssss, sss-ss-ssssss, sssss, ssss,d,d,dd, ssssss-ssssss, <=dds
89,dd, sssssss-sss,dddddd, sssssssss,dd, sssss-sssssss, ssss-sssssssss, sss-ss-ssssss, sssss, ssssss,d,d,dd, ssssss-ssssss, >dds
90,dd, sssssss,dddddd, sssss-sss,dd, sssssss-sss-ssssss, ssss-sssssssss, sssssss, sssss, ssss,d,d,dd, ssssss-ssssss, <=dds
91,dd, sssssss,dddddd, ssss-sssssss,dd, ssssssss, sssss-ssssss, sssssssss, sssss, ssssss,d,d,dd, ssssss-ssssss, <=dds
92,dd, sssssss,dddddd, ssss-sssssss,dd, ssssssss, sssssss-ss-ssssss, sssssssss, sssss, ssssss,d,d,dd, ssssss-ssssss, <=dds
93,dd, sssssss,dddddd, ss-ssss,d, sssssss-sss-ssssss, sssss, ssss, sssss-sss-ssssssss, ssssss,d,dddd,dd, ?, <=dds
94,dd, sssss-sss,dddddd, sssssssss,dd, sssssss-sss-ssssss, ssssssssss-ssss, sssssss, sssss, ssss,d,d,dd, ssssss-ssssss, >dds
95,dd, sssss-sss,dddddd, ssss-sssssss,dd, sssss-sssssss, ssssssss-ssssssss, sss-ss-ssssss, sssss, ssss,d,d,dd, ssssss-ssssss, <=dds
96,dd, ssss-sss-sss-sss,dddddd, sssssssss,dd, sssssss-sss-ssssss, ssss-sssssssss, sssssss, sssss, ssss,d,dddd,dd, ssssss-ssssss, >dds
97,dd, sssssss,dddddd, ssss-sssssss,dd, sssssss-sss-ssssss, sssss, sssssss, sssss, ssss,d,d,dd, ssssss-ssssss, >dds
98,dd, sssssss,dddddd, sssss-ssss,dd, ssssssss, ssss-ssssssssss, sssssssss, sssss, ssssss,d,d,dd, sssssss, <=dds
99,dd, sssssss-sss,dddddd, ss-ssss,d, sssss-sssssss, sssss-sssssss, sss-sssss, sssss, ssss,d,d,dd, ssssss-ssssss, <=dds
100,dd, sssssss,dddddd, sssssss,dd, sssssss-sss-ssssss, ssss-ssssssssss, sssssss, sssss, ssss,d,d,dd, ssssss-ssssss, >dds
101,dd, sssssss,dddddd, sssssssss,dd, sssssss-sss-ssssss, ssss-ssssssssss, sssssss, sssss, ssss,ddddd,d,dd, ssssss-ssssss, >dds
102,dd, ssss-sss-sss-sss,dddddd, sssssss,dd, sssss-sssssss, ssss-sssssssss, sss-ss-ssssss, sssss, ssssss,d,d,dd, ssssss-ssssss, <=dds
103,dd, sssssss,dddddd, ssss-sssssss,dd, sssss-sssssss, ssss-sssssss, sss-sssss, sssss, ssssss,d,d,dd, ssssss-ssssss, <=dds
104,dd, sssssss,dddddd, ss-ssss,d, sssss-sssssss, sssss-ssssss, sss-ss-ssssss, sssss, ssss,d,d,dd, ssssss-ssssss, <=dds
105,dd, ssss-sss-sss,dddddd, ss-ssss,d, sssssss-sss-ssssss, sssss-ssssss, sssssss, sssss, ssss,dddd,d,dd, ssssss-ssssss, >dds
106,dd, ?,dddddd, ddss,d, sssss-sssssss, ?, sss-sssss, sssss, ssssss,ddddd,d,dd, ssssss-ssssss, <=dds
107,dd, sssssss,dddddd, ddss,d, sssss-sssssss, ssssssss-ssssssss, sss-sssss, sssss, ssss,d,d,dd, ssssss-ssssss, <=dds
108,dd, sssss-sss,dddddd, ss-ssss,d, sssss-sssssss, sss-ssssssss, sss-ss-ssssss, sssss, ssssss,d,d,dd, ssssss-ssssss, <=dds
109,dd, sssssss,dddddd, ss-ssss,d, sssssss-sss-ssssss, ssssssss-ssssssss, sssssss, sssss, ssss,d,d,dd, ssssss-ssssss, <=dds
110,dd, sssssss,dddddd, sssssssss,dd, sssss-sssssss, sssss, sssss-ssssssss, sssss, ssss,d,d,dd, ssssss-ssssss, <=dds
111,dd, sssssss,ddddd, ssss-ssssss,dd, sssssss-sss-ssssss, ssss-sssssssss, sssssss, sssss, ssss,d,d,dd, ssssss-ssssss, >dds
112,dd, ssss-sss-sss-sss,dddddd, ss-ssss,d, sssssss-sss-ssssss, sssss-sssssss, sssssss, sssss, ssss,d,dddd,dd, ssssss, >dds
113,dd, sssssss,dddddd, ssss-sssssss,dd, sssssss-sss-ssssss, sssss, ssss, sssss, ssssss,dddd,d,dd, ssssss-ssssss, <=dds
114,dd, sssssss,dddddd, ss-ssss,d, sssss-sssssss, sssssss-ss-ssssss, sss-sssss, sssss, ssssss,d,d,dd, ssssss-ssssss, <=dds
115,dd, sssssss,ddddd, dss,d, sssssss-sss-ssssss, ssssssss-ssssssss, sssssss, sssss, ssss,d,d,dd, ssssss-ssssss, <=dds
116,dd, ssss-sss-sss,dddddd, ssss-sssssss,dd, sssssss-sss-ssssss, sssss, sssssss, sssss, ssss,d,d,dd, ssssss-ssssss, <=dds
117,dd, sssss-sss,dddddd, sssss-sss,dd, sssssss-sss-ssssss, sssss-ssssss, sssssss, sssss, ssss,d,d,dd, ssssss-ssssss, >dds
118,dd, sssssss,dddddd, ssss-sssssss,dd, sssssss-sss-ssssss, sssss, sssssss, sssss, ssss,d,d,dd, ssssss-ssssss, <=dds
119,dd, sssssss,dddddd, ss-ssss,d, sssss-sssssss, sssss-ssssss, sss-ss-ssssss, sssss, ssss,d,d,dd, ssssss-ssssss, <=dds
120,dd, sssssss,dddddd, ssss-sssssss,dd, sssss-sssssss, sssss-sssssss, sss-sssss, sssss, ssssss,d,d,dd, ssssss-ssssss, <=dds
121,dd, sssssss,dddddd, sssssssss,dd, sssssss-sss-ssssss, ssss-ssssssssss, sssssss, sssss, ssss,d,d,dd, ssssss-ssssss, <=dds
122,dd, sssssss,ddddd, sssssssss,dd, sssss-sssssss, ssss-ssssssssss, sss-sssss, sssss, ssss,d,d,dd, sssssss, <=dds
123,dd, sssss-sss,dddddd, sssssssss,dd, sssssss-sss-ssssss, ssss-sssssssss, sssssss, sssss, ssss,d,d,dd, ssssss-ssssss, >dds
124,dd, sssssss,dddddd, ssss-sssssss,dd, sssss-sssssss, sssss-sssssss, sss-sssss, sssss, ssss,d,d,dd, ssssss-ssssss, <=dds
125,dd, sssssss,dddddd, sssssssss,dd, sssssss-sss-ssssss, ssss-ssssssssss, ssss, sssss, ssssss,d,d,dd, ssssss-ssssss, >dds
126,dd, sssssss,dddddd, ssss-sssssss,dd, sssss-sssssss, sss-ssssssss, sss-sssss, sssss, ssssss,d,dddd,dd, ssssss-ssssss, <=dds
127,dd, sssssss,dddddd, sssss-ssss,dd, sssssss-sss-ssssss, sss-ssssssss, sssssss, sssss, ssss,d,d,dd, ssssss-ssssss, >dds
128,dd, ?,dddddd, ss-ssss,d, sssssss-sss-ssssss, ?, sssssss, sssss, ssss,d,d,dd, ssssss-ssssss, <=dds
129,dd, sssssss,dddddd, ssss-sssssss,dd, ssssssss, sssss-ssssss, sss-ss-ssssss, sssss, ssss,d,d,dd, ssssss-ssssss, <=dds
130,dd, sssssss,ddddd, sssss-ssss,dd, sssss-sssssss, sssss, sss-ss-ssssss, sssss, ssssss,d,d,dd, ssssss-ssssss, <=dds
131,dd, sssssss,ddddd, ss-ssss,d, sssss-sssssss, sssss-sssssss, sss-ss-ssssss, sssss, ssssss,d,dddd,dd, ssssss-ssssss, <=dds
132,dd, ssss-sss-sss-sss,dddddd, ss-ssss,d, sssssss-sss-ssssss, sssss-ssssss, sssssss, sssss, ssss,dddd,d,dd, ssssss-ssssss, <=dds
133,dd, sssssss,dddddd, sssssssss,dd, sssssss-sss-ssssss, sssss, sssssss, sssss, ssss,d,d,dd, ssssss-ssssss, <=dds
134,dd, sssssss,dddddd, sssss-ssss,dd, ssssssss, ssss-sssssss, sss-ss-ssssss, sssss, ssssss,d,d,dd, ssssss-ssssss, <=dds
135,dd, sssssss-sss,dddddd, sssssss,dd, sssssss-sss-ssssss, ssss-sssssssss, sssssss, sssss, ssss,d,d,dd, ssss, >dds
136,dd, ssss-sss-sss-sss,ddddd, ss-ssss,d, sssssss-sss-ssssss, sssss-ssssss, sssssss, sssss, ssss,d,d,dd, ssssss-ssssss, <=dds
137,dd, sssssss,dddddd, sssss-sss,dd, sssssss-sss-ssssss, sss-ssssssss, ssss, sssss, ssssss,d,d,dd, ssssss-ssssss, <=dds
138,dd, sssssss,ddddd, ssss-sssssss,dd, sssss-sssssss, sssss, sss-sssss, sssss, ssss,d,d,dd, ssssss-ssssss, <=dds
139,dd, sssssss,ddddd, ssss-sssssss,dd, sssssss-sss-ssssss, sssss-ssssss, sssssss, sssss-sss-ssssssss, ssss,d,d,dd, ssssss-ssssss, >dds
140,dd, ssss-sss-sss,ddddd, ss-ssss,d, sssssss-sss-ssssss, sssss-ssssss, sssssss, sssss, ssss,d,d,dd, ssssss-ssssss, <=dds
141,dd, sssssss,dddddd, ssss-sssssss,dd, sssss-sssssss, sssss, sss-sssss, sssss, ssssss,d,d,dd, ssssss-ssssss, <=dds
142,dd, sssssss,dddddd, ssss-sssssss,dd, sssss-sssssss, sssss-sssssss, sss-sssss, sssss, ssss,d,d,dd, ssssss, <=dds
143,dd, sssssss,dddddd, sssss-sss,dd, sssss-sssssss, ssss-sssssssss, sss-ss-ssssss, sssss, ssssss,d,dddd,dd, ssssss-ssssss, >dds
144,dd, sssssss,dddddd, ssss-sssssss,dd, sssss-sssssss, ssss-sssssss, sssss-ssssssss, sssss, ssss,d,d,dd, ssssss-ssssss, <=dds
145,dd, sssssss,dddddd, ss-ssss,d, sssss-sssssss, sssssssss-ssssss, sssssssss, sssss, ssssss,d,d,dd, ssssss-ssssss, <=dds
146,dd, sssssss,dddddd, ssss-sssssss,dd, sssssss-sss-ssssss, sssss-sssssss, sssssss, sssss, ssss,d,d,dd, ssssss-ssssss, <=dds
147,dd, sssssss,dddddd, ss-ssss,d, sssssss, sssss-sssssss, sssssssss, sssss, ssssss,d,d,dd, ssssss-ssssss, <=dds
148,dd, sssssss,dddddd, ddss,d, sssssss-sss-ssssss, sssss-ssssss, sssssss, sssss, ssss,d,dddd,dd, ssssss-ssssss, <=dds
149,dd, ?,dddddd, ssss-sssssss,dd, ssssssss, ?, sss-ss-ssssss, sssss, ssssss,d,d,dd, ssssss-ssssss, <=dds
150,dd, sssss-sss,dddddd, ssss-sssssss,dd, ssssssss, sss-ssssssss, sssssssss, sssss, ssssss,d,d,dd, ssssss, <=dds
151,dd, sssssss,dddddd, ss-ssss,d, sssss-sssssss, sss-ssssssss, sss-ss-ssssss, sssss, ssssss,d,d,dd, ssssss-ssssss, <=dds
152,dd, sssssss,dddddd, sssssssss,dd, sssss-sssssss, ssss-ssssssssss, sssss-ssssssss, sssss-sss-ssssssss, ssssss,d,d,dd, sssssssssss, <=dds
153,dd, sssssss,dddddd, ss-ssss,d, sssss-sssssss, sssss-ssssss, sss-sssss, sssss, ssss,d,d,dd, ssssss-ssssss, <=dds
154,dd, ?,dddddd, ss-ssss,d, ssssssss, ?, sss-ss-ssssss, sssss, ssss,d,d,dd, ssssss-ssssss, >dds
155,dd, sssssss,dddddd, ss-ssss,d, sssssss-sss-ssssss, sssss-ssssss, sssssss, sssss, ssss,d,d,dd, ssssss-ssssss, <=dds
156,dd, sssssss,dddddd, sssssssss,dd, sssss-sssssss, ssssssss-ssssssss, sss-ss-ssssss, sssss, ssss,d,d,dd, ssssss-ssssss, <=dds
157,dd, ssss-sss-sss-sss,dddddd, ssss-sssssss,dd, sssssssss, sssss, sssssssss, sssss, ssss,d,dddd,d, ssssss-ssssss, <=dds
158,dd, sssssss,dddddd, ss-ssss,d, ssssssss, sssss-ssssss, sss-ss-ssssss, sssss, ssss,d,d,dd, ssssss-ssssss, <=dds
159,dd, sssssss,dddddd, sssssssss,dd, sssssssss, sssss-sssssss, sssss-ssssssss, sssss, ssss,d,d,dd, ssssss-ssssss, <=dds
160,dd, ?,ddddd, dss-dss,d, ssssssss, ?, sss-ss-ssssss, sssss, ssssss,d,d,dd, ssssss-ssssss, <=dds
161,dd, sssssss,dddddd, ss-ssss,d, sssss-sssssss, sssss-sssssss, sssssssss, sssss, ssssss,d,d,dd, ssssss-ssssss, <=dds
162,dd, ssss-sss-sss,ddddd, sssssss,dd, ssssssss, ssss-ssssssssss, sssssssss, sssss-sss-ssssssss, ssssss,d,d,dd, ssssss-ssssss, <=dds
163,dd, sssssss,ddddd, ss-ssss,d, sssss-sssssss, ssss-ssssssssss, sss-ss-ssssss, sssss-sss-ssssssss, ssssss,d,d,dd, sssssss, <=dds
164,dd, ssss-sss-sss-sss,dddddd, sssssss,dd, sssssss-sss-ssssss, sssss, sssssss, sssss, ssss,d,d,dd, ssssss-ssssss, >dds
165,dd, sssssss,dddddd, ssss-sssssss,dd, ssssssss, sssss-sssssss, sssssssss, sssss, ssssss,d,d,dd, ssssss, <=dds
166,dd, sssssss-sss,dddddd, sssss-ssss,dd, sssss-sssssss, ssss-ssssssssss, sss-ss-ssssss, sssss, ssss,d,d,dd, ssssss-ssssss, <=dds
167,dd, sssss-sss,dddddd, sssssss,dd, sssssss, ssssssssss-ssss, sssssssss, sssss, ssss,d,d,dd, ssssss-ssssss, <=dds
168,dd, sssssss,ddddd, ddss,d, sssss-sssssss, ssssssss-ssssssss, sss-sssss, sssss, ssss,d,d,dd, ssssss-ssssss, <=dds
169,dd, sssss-sss,ddddd, sssss-sss,dd, sssssss, ssss-sssssssss, sss-ss-ssssss, sssss, ssssss,d,d,dd, ssssss-ssssss, <=dds
